rank	gene_id	gene_name	gene_type	n_isoforms	gene_tpm_A	gene_tpm_B	gene_num_A	gene_num_B	max_abs_dIF	sum_abs_dIF	fisher_pvalue	top2_total_reads	iso_pos_tx	iso_pos_tpm_A	iso_pos_tpm_B	iso_pos_num_A	iso_pos_num_B	iso_neg_tx	iso_neg_tpm_A	iso_neg_tpm_B	iso_neg_num_A	iso_neg_num_B
1	ENSG00000203970.4	DEFB110	protein_coding	2	67593.283699	3898.818499	198.000	202.000	1.000000	2.000000	9.90895e-120	400.000	ENST00000371148.3	0.000000	3898.818499	0.000	202.000	ENST00000393660.2	67593.283699	0.000000	198.000	0.000
2	ENSG00000030419.17	IKZF2	protein_coding	14	68.899608	52.220858	140.001	103.000	0.596205	1.627727	4.71314e-69	234.870	ENST00000457361.5	0.024619	31.153006	0.085	99.918	ENST00000451136.6	39.283178	0.000001	134.867	0.000
3	ENSG00000086758.17	HUWE1	protein_coding	19	55.293311	67.906050	127.000	132.000	0.353083	1.711814	2.06589e-64	217.959	ENST00000262854.11	0.000000	23.976462	0.000	122.373	ENST00000612484.4	18.006671	0.000009	95.586	0.000
4	ENSG00000109971.14	HSPA8	protein_coding	24	998.887488	1225.741097	389.998	442.001	0.295912	1.164161	8.50748e-62	520.155	ENST00000534567.5	63.685258	372.633096	8.126	44.391	ENST00000227378.7	305.818852	12.561313	223.518	8.571
5	ENSG00000196924.19	FLNA	protein_coding	21	167.162259	284.804905	122.999	111.999	0.222941	1.329400	7.98823e-52	183.374	ENST00000466319.1	16.131062	79.908982	1.279	5.914	ENST00000673639.2	37.267282	0.000000	2.603	0.000
6	ENSG00000185624.16	P4HB	protein_coding	72	207.752765	209.728154	142.001	154.998	0.523822	1.572099	1.17135e-44	176.899	ENST00000331483.9	4.472480	107.107953	3.693	82.560	ENST00000679688.1	109.528441	0.709687	90.101	0.545
7	ENSG00000140105.18	WARS1	protein_coding	44	400.337582	463.661347	175.000	180.001	0.280722	1.432290	6.83408e-44	275.589	ENST00000392882.7	0.016977	130.179627	0.015	109.613	ENST00000358655.8	151.829823	49.858898	127.019	38.942
8	ENSG00000254087.8	LYN	protein_coding	4	130.663966	104.643030	82.999	77.999	0.337034	0.714818	9.86345e-41	142.649	ENST00000519728.6	0.000192	35.268399	0.000	69.884	ENST00000520220.6	34.304956	0.400431	71.981	0.784
9	ENSG00000120899.18	PTK2B	protein_coding	17	241.219300	196.312829	69.000	62.001	0.229271	0.841649	4.17523e-35	118.461	ENST00000517339.5	0.000000	45.008852	0.000	58.124	ENST00000420218.3	43.220432	0.085849	60.225	0.112
10	ENSG00000163565.20	IFI16	protein_coding	12	90.840886	135.630048	85.000	100.999	0.747548	1.769164	2.0297e-33	165.753	ENST00000368131.8	0.001940	90.908611	0.002	79.590	ENST00000368132.7	78.390697	15.651254	72.624	13.537
11	ENSG00000100353.18	EIF3D	protein_coding	12	92.318997	98.687272	53.000	56.000	0.982906	2.000000	8.99164e-32	106.284	ENST00000216190.13	0.000013	97.000304	0.000	55.726	ENST00000405442.5	83.647724	0.000004	50.558	0.000
12	ENSG00000110321.19	EIF4G2	protein_coding	31	791.045483	2690.556885	231.001	265.001	0.296126	0.833016	1.04489e-30	321.940	ENST00000534605.1	0.000000	796.744190	0.000	2.435	ENST00000525681.6	122.476797	36.341977	157.394	43.601
13	ENSG00000171863.15	RPS7	protein_coding	12	1855.964769	1418.195102	159.482	175.460	0.583404	1.216875	1.52741e-29	218.876	ENST00000645674.2	0.000013	827.380552	0.000	140.557	ENST00000491937.6	623.935440	1.637534	71.607	0.175
14	ENSG00000166598.16	HSP90B1	protein_coding	35	598.230623	492.662007	452.742	400.535	0.194536	0.469220	2.20474e-29	785.969	ENST00000680316.1	0.020929	95.857827	0.019	80.950	ENST00000551983.1	151.758228	51.860913	27.386	8.737
15	ENSG00000101265.16	RASSF2	protein_coding	3	24.736296	25.936787	48.000	46.000	1.000000	2.000000	6.28207e-28	94.000	ENST00000379376.2	0.000000	25.936787	0.000	46.000	ENST00000379400.8	24.736296	0.000000	48.000	0.000
16	ENSG00000115677.18	HDLBP	protein_coding	47	577.303918	480.140517	119.000	142.000	0.317913	1.178394	4.0046e-27	136.726	ENST00000494862.1	23.614934	100.091867	0.945	3.739	ENST00000477477.1	183.532668	0.000000	6.237	0.000
17	ENSG00000101109.14	STK4	protein_coding	17	31.399868	38.571522	68.000	55.001	0.799723	1.894891	4.1955e-27	106.853	ENST00000474717.3	1.098694	21.795261	2.504	46.367	ENST00000372806.8	25.111441	0.000289	57.981	0.001
18	ENSG00000198961.10	PJA2	protein_coding	4	40.605198	27.103647	47.000	44.000	1.000000	2.000000	1.92627e-26	89.346	ENST00000361189.7	0.000000	27.103647	0.000	44.000	ENST00000361557.4	27.329890	0.000000	45.346	0.000
19	ENSG00000149428.21	HYOU1	protein_coding	29	104.861289	79.114168	65.000	67.001	0.505480	1.701147	2.0997e-26	93.258	ENST00000532519.7	0.000009	39.990615	0.000	57.916	ENST00000531682.1	37.589053	0.000000	0.982	0.000
20	ENSG00000081189.17	MEF2C	protein_coding	57	44.116329	159.853576	63.000	65.841	0.445052	1.980469	8.86086e-25	89.448	ENST00000510980.1	0.000000	33.836976	0.000	3.303	ENST00000637481.1	19.634042	0.000000	43.273	0.000
21	ENSG00000184009.13	ACTG1	protein_coding	25	1337.747357	1292.347232	830.284	760.000	0.112502	0.225003	1.39523e-24	1583.371	ENST00000573283.7	1186.586495	1279.674547	747.651	752.761	ENST00000576209.5	151.160862	0.639585	82.633	0.326
22	ENSG00000051108.15	HERPUD1	protein_coding	19	384.552518	390.511702	80.001	86.000	0.239499	1.143726	2.41155e-24	82.653	ENST00000300302.9	0.000001	71.248990	0.000	40.480	ENST00000563343.5	118.811148	27.124970	14.219	3.031
23	ENSG00000089280.20	FUS	protein_coding	15	165.855989	171.702313	56.000	73.000	0.532240	1.665735	8.57346e-24	88.065	ENST00000254108.12	2.103189	93.564098	1.250	51.906	ENST00000715542.1	58.971957	0.000000	34.909	0.000
24	ENSG00000161405.18	IKZF3	protein_coding	17	17.217682	23.986049	61.998	48.922	1.000000	1.999999	2.0758e-23	88.753	ENST00000623724.3	0.000007	7.959537	0.000	26.755	ENST00000346872.8	17.217675	0.000000	61.998	0.000
25	ENSG00000112697.17	TMEM30A	protein_coding	9	81.062613	35.329089	49.000	50.000	0.857992	1.988811	2.39832e-22	80.907	ENST00000673989.1	0.385531	30.480089	0.588	43.412	ENST00000518161.1	48.732070	0.000000	3.588	0.000
26	ENSG00000198624.13	CCDC69	protein_coding	8	93.386018	87.636320	66.000	55.001	0.506951	1.107043	1.24497e-21	100.789	ENST00000518189.5	6.391745	41.479491	6.308	38.216	ENST00000355417.7	47.342635	0.000491	56.264	0.001
27	ENSG00000121210.16	TMEM131L	protein_coding	8	40.558083	44.751726	51.999	46.000	0.577912	1.454641	1.38168e-21	78.105	ENST00000409959.8	0.311008	26.205739	0.558	43.928	ENST00000409663.7	18.680919	0.000032	33.619	0.000
28	ENSG00000197442.11	MAP3K5	protein_coding	3	46.066777	24.671762	34.000	39.000	0.847514	1.695027	2.89251e-21	71.616	ENST00000698928.1	0.000000	20.909657	0.000	38.846	ENST00000463140.1	28.378329	3.760925	1.232	0.152
29	ENSG00000014216.16	CAPN1	protein_coding	28	191.777239	86.421507	47.000	37.000	0.708586	2.000000	7.88866e-21	70.723	ENST00000527189.5	0.000000	36.284345	0.000	3.939	ENST00000528739.5	135.890721	0.000000	4.669	0.000
30	ENSG00000117523.18	PRRC2C	protein_coding	13	19.565433	55.270874	55.000	57.000	0.509673	1.714173	1.60175e-20	78.605	ENST00000492811.1	0.000000	21.994253	0.000	1.000	ENST00000367742.7	10.126398	0.436236	38.673	1.555
31	ENSG00000139687.17	RB1	protein_coding	13	74.116314	51.941126	59.001	51.001	0.406381	1.769316	1.67609e-20	89.996	ENST00000650461.1	2.571696	22.186856	4.251	34.243	ENST00000267163.6	30.164846	0.031800	51.451	0.051
32	ENSG00000055332.19	EIF2AK2	protein_coding	14	37.300708	38.642432	49.001	48.001	0.588927	1.725942	2.51325e-20	68.431	ENST00000405334.5	0.005668	22.763427	0.003	10.294	ENST00000411537.7	26.595674	5.044154	10.261	1.817
33	ENSG00000198502.7	HLA-DRB5	protein_coding	2	359.203284	409.900512	135.608	137.743	0.435190	0.870380	2.53768e-20	273.351	ENST00000714490.1	0.000000	178.384601	0.000	56.145	ENST00000374975.4	359.203284	231.515911	135.608	81.598
34	ENSG00000196235.14	SUPT5H	protein_coding	20	85.508320	157.922609	44.999	35.000	0.373786	0.873371	3.57614e-20	70.653	ENST00000594729.5	37.696268	100.889273	1.622	4.054	ENST00000598725.5	31.961775	0.000003	42.136	0.000
35	ENSG00000055917.17	PUM2	protein_coding	10	37.299144	36.375117	39.000	44.000	0.539036	2.000000	3.57614e-20	69.852	ENST00000361078.7	0.000000	19.607501	0.000	41.872	ENST00000429419.6	18.908887	0.000000	2.120	0.000
36	ENSG00000122884.13	P4HA1	protein_coding	6	34.219242	40.971249	32.000	36.000	1.000000	2.000000	3.94684e-20	67.884	ENST00000373008.7	0.000000	40.971249	0.000	36.000	ENST00000307116.6	34.095673	0.000000	31.884	0.000
37	ENSG00000196305.19	IARS1	protein_coding	42	40.495136	70.931470	63.001	62.999	0.617712	1.999989	4.21577e-20	68.675	ENST00000473915.1	0.000000	29.121973	0.000	3.695	ENST00000443024.7	25.014313	0.000000	39.974	0.000
38	ENSG00000111642.16	CHD4	protein_coding	54	165.547976	96.609740	78.001	70.998	0.627671	1.864326	7.2722e-20	69.014	ENST00000642893.1	0.000000	34.337928	0.000	1.343	ENST00000645717.1	103.909661	0.000000	2.412	0.000
39	ENSG00000167986.15	DDB1	protein_coding	45	157.769297	517.406290	64.999	79.999	0.739881	1.839675	1.00306e-19	68.133	ENST00000538280.1	0.000000	382.818904	0.000	1.774	ENST00000535174.5	46.056922	12.650399	11.232	2.880
40	ENSG00000115935.19	WIPF1	protein_coding	26	74.289332	99.983546	86.001	97.001	0.418261	1.004698	1.21835e-19	153.272	ENST00000392547.6	0.062720	31.718608	0.103	48.485	ENST00000679041.1	44.750320	18.408762	75.636	29.048
41	ENSG00000197943.13	PLCG2	protein_coding	42	234.637621	61.086364	49.016	55.000	0.802478	1.949347	1.42713e-19	66.172	ENST00000570198.2	0.000000	30.456026	0.000	31.720	ENST00000563834.1	188.291459	0.000000	1.690	0.000
42	ENSG00000180628.15	PCGF5	protein_coding	5	30.834264	20.190122	46.000	28.553	0.527820	1.055640	2.28475e-19	68.214	ENST00000336126.6	0.000010	10.656753	0.000	25.913	ENST00000614189.4	16.417136	0.098627	42.065	0.236
43	ENSG00000179222.18	MAGED1	protein_coding	10	57.437397	40.532348	35.000	34.001	0.958973	1.917947	1.31664e-18	62.149	ENST00000375772.7	0.000000	38.869439	0.000	33.578	ENST00000326587.12	30.583831	0.019050	28.554	0.017
44	ENSG00000172071.15	EIF2AK3	protein_coding	24	46.534189	46.773709	48.000	33.000	0.661474	2.000000	1.66235e-18	63.331	ENST00000415570.1	0.000000	27.474261	0.000	25.680	ENST00000684455.1	30.781164	0.000000	37.651	0.000
45	ENSG00000092820.19	EZR	protein_coding	3	82.541915	119.431829	84.000	99.000	0.585272	1.170544	2.3701e-18	175.407	ENST00000337147.11	0.000016	49.931104	0.000	49.592	ENST00000367075.4	78.353223	43.471030	82.884	42.931
46	ENSG00000160710.19	ADAR	protein_coding	41	79.896833	79.448948	181.000	171.999	0.302206	0.605069	2.53951e-18	308.310	ENST00000529168.2	0.000000	24.009988	0.000	51.561	ENST00000649749.1	66.000288	47.523886	153.536	103.213
