answer	50,20,20,10
chromosomes	chr1,chr2,chr3,chr4
strand_mode	forward
lengths	3000,3000,3000,3000
total_reads	40000
reads_used_max4	19999
unresolved_no_candidate_or_gt4	20001
short_or_ambiguous	0
em_pi	0.50882164,0.19354224,0.19757829,0.10005782
em_pct	50.8822,19.3542,19.7578,10.0058
em_error_rate	0.00857929
unique_best_counts	3758,593,934,295
exact_unique_counts	2695,445,699,221
min_distance_counts	0:14688,1:4523,2:723,3:57,4:8
exact_pattern	chr1,chr2,chr3,chr4	7545
exact_pattern	chr1	2695
exact_pattern	chr3	699
exact_pattern	chr2,chr3,chr4	601
exact_pattern	chr2,chr4	559
exact_pattern	chr1,chr3,chr4	452
exact_pattern	chr2	445
exact_pattern	chr1,chr2,chr3	369
exact_pattern	chr1,chr2,chr4	310
exact_pattern	chr2,chr3	308
exact_pattern	chr4	221
exact_pattern	chr3,chr4	221
exact_pattern	chr1,chr2	150
exact_pattern	chr1,chr4	107
exact_pattern	chr1,chr3	6
