test_id	gene_id	gene_symbol	status	p	q	fc	value_a	value_b
ENST00000448155.2	ENSG00000251546.1	IGKV1D-39	OK	5e-05	0.11835		511.925	0
ENST00000390549.6	ENSG00000211896.7	IGHG1	OK	0.00025	0.295875	4.32968	61.8383	1243.43
ENST00000272567.4	ENSG00000144158.4	SNRPA1P1	OK	0.0005	0.3945		0	63.5453
ENST00000282050.6	ENSG00000152234.16	ATP5F1A	OK	0.00075	0.443812	-1.57704	471.63	158.076
ENST00000295598.10	ENSG00000163399.16	ATP1A1	OK	0.0011	0.48953	1.22718	121.082	283.462
ENST00000496294.1	ENSG00000242299.1	RPS18P5	OK	0.0017	0.48953	1.35548	578.825	1481.11
ENST00000436160.1	ENSG00000228589.3	SPCS2P4	OK	0.0022	0.48953		62.7086	0
ENST00000496795.1	ENSG00000228519.3	RANBP1P1	OK	0.00255	0.48953		0	72.1148
ENST00000644876.2	ENSG00000215301.11	DDX3X	OK	0.0041	0.48953	-1.92075	126.506	33.4124
ENST00000480492.1	ENSG00000243290.3	IGKV1-12	OK	0.00465	0.48953	0.885541	1214.26	2243.29
ENST00000496168.1	ENSG00000243466.1	IGKV1-5	OK	0.005	0.48953		0	70.5348
ENST00000433415.1	ENSG00000231120.3	BTF3P10	OK	0.00515	0.48953		77.2438	0
ENST00000432629.1	ENSG00000185834.10	RPL12P4	OK	0.006	0.48953		76.8487	0
ENST00000354185.9	ENSG00000165732.14	DDX21	OK	0.00705	0.48953	-1.44031	98.3071	36.2249
ENST00000520908.7	ENSG00000134516.20	DOCK2	OK	0.00715	0.48953	-1.90596	65.9107	17.5876
ENST00000651992.1	ENSG00000124795.17	DEK	OK	0.0083	0.48953	-2.11852	131.355	30.2486
ENST00000253452.8	ENSG00000131143.10	COX4I1	OK	0.00835	0.48953	-1.57374	564.639	189.682
ENST00000361099.8	ENSG00000115415.21	STAT1	OK	0.0091	0.48953	-1.48184	241.654	86.5199
ENST00000261443.9	ENSG00000009307.17	CSDE1	OK	0.0096	0.48953	-2.18938	162.928	35.7212
ENST00000405422.2	ENSG00000217094.2	PPIAP31	OK	0.0103	0.48953		61.795	0
ENST00000380244.7	ENSG00000089280.19	FUS	OK	0.0105	0.48953	2.28772	41.5978	203.116
ENST00000695856.1	ENSG00000289694.1	ENSG00000289694	OK	0.0113	0.48953	-2.28169	176.209	36.2387
ENST00000398598.8	ENSG00000157601.15	MX1	OK	0.012	0.48953	0.788758	223.353	385.861
ENST00000339438.10	ENSG00000009307.17	CSDE1	OK	0.01275	0.48953	1.4028	57.0821	150.933
ENST00000689152.1	ENSG00000167004.14	PDIA3	OK	0.01325	0.48953	-1.70037	274.18	84.3673
ENST00000706292.1	ENSG00000085832.18	EPS15	OK	0.01365	0.48953	-1.79958	82.7581	23.773
ENST00000390559.6	ENSG00000211899.10	IGHM	OK	0.01385	0.48953	-2.24019	144.115	30.5032
ENST00000262193.7	ENSG00000008018.9	PSMB1	OK	0.0139	0.48953	-1.85699	249.589	68.8996
ENST00000674194.1	ENSG00000156738.18	MS4A1	OK	0.01495	0.48953	1.24847	89.8406	213.452
ENST00000504293.5	ENSG00000186468.13	RPS23	OK	0.0155	0.48953	-1.18877	1389.02	609.331
ENST00000520220.6	ENSG00000254087.8	LYN	OK	0.01655	0.48953	-1.48294	68.224	24.4078
ENST00000396525.7	ENSG00000110321.19	EIF4G2	OK	0.0179	0.48953	1.13976	123.359	271.816
ENST00000672401.1	ENSG00000068366.21	ACSL4	OK	0.01795	0.48953	-1.71866	68.3743	20.7742
ENST00000549259.5	ENSG00000196531.14	NACA	OK	0.01835	0.48953	1.21283	384.817	891.973
ENST00000567815.5	ENSG00000167526.14	RPL13	OK	0.0207	0.48953	-1.18798	967.982	424.864
ENST00000643579.2	ENSG00000167460.17	TPM4	OK	0.02095	0.48953	-0.743803	285.171	170.294
ENST00000438792.6	ENSG00000126777.18	KTN1	OK	0.0213	0.48953	-1.61948	67.196	21.8691
ENST00000268182.10	ENSG00000140575.13	IQGAP1	OK	0.02175	0.48953	0.980669	31.3442	61.854
ENST00000361891.9	ENSG00000143621.17	ILF2	OK	0.02255	0.48953	-1.1375	156.648	71.2033
ENST00000628285.3	ENSG00000095787.26	WAC	OK	0.023	0.48953	-1.55444	76.1693	25.9327
ENST00000448044.5	ENSG00000073849.16	ST6GAL1	OK	0.0237	0.48953	-0.757205	169.518	100.294
ENST00000652332.1	ENSG00000155660.11	PDIA4	OK	0.0237	0.48953	1.99753	27.8071	111.038
ENST00000171757.3	ENSG00000078589.13	P2RY10	OK	0.02455	0.48953	-0.836909	114.516	64.111
ENST00000435983.5	ENSG00000144713.13	RPL32	OK	0.02525	0.48953	-1.0543	952.15	458.491
ENST00000334133.9	ENSG00000131378.14	RFTN1	OK	0.02645	0.48953	1.06204	61.9238	129.289
ENST00000239878.9	ENSG00000120686.12	UFM1	OK	0.02675	0.48953	1.43095	23.2926	62.8024
ENST00000327300.12	ENSG00000121774.18	KHDRBS1	OK	0.02675	0.48953	-0.782173	161.358	93.8279
ENST00000281141.9	ENSG00000151465.14	CDC123	OK	0.0275	0.48953	-1.80181	158.148	45.3592
ENST00000259512.9	ENSG00000136986.10	DERL1	OK	0.0278	0.48953	1.50368	21.815	61.8597
ENST00000650461.1	ENSG00000139687.16	RB1	OK	0.028	0.48953	-1.16042	70.4185	31.5039
ENST00000373212.6	ENSG00000131171.13	SH3BGRL	OK	0.02845	0.48953	0.821746	125.089	221.1
ENST00000490232.3	ENSG00000274012.1	RN7SL2	OK	0.02865	0.48953		0	92.9312
ENST00000499869.7	ENSG00000071127.18	WDR1	OK	0.02955	0.48953	-0.99319	126.776	63.688
ENST00000360830.9	ENSG00000138326.21	RPS24	OK	0.03045	0.48953	-1.18773	1088.31	477.76
ENST00000704057.1	ENSG00000165119.22	HNRNPK	OK	0.03085	0.48953	-2.07511	213.273	50.6135
ENST00000374023.8	ENSG00000196821.10	ILRUN	OK	0.0311	0.48953	0.775856	66.3458	113.598
ENST00000616917.4	ENSG00000143401.15	ANP32E	OK	0.03215	0.48953	-2.7451	103.137	15.3836
ENST00000673989.1	ENSG00000112697.17	TMEM30A	OK	0.03285	0.48953	2.47669	11.3523	63.1891
ENST00000372718.8	ENSG00000084070.12	SMAP2	OK	0.03425	0.48953	-1.22107	97.3093	41.7421
ENST00000467825.2	ENSG00000142541.18	RPL13A	OK	0.03585	0.48953	-1.76326	928.02	273.377
ENST00000216797.10	ENSG00000100906.12	NFKBIA	OK	0.0367	0.48953	-2.59868	177.09	29.2356
ENST00000547566.5	ENSG00000135486.19	HNRNPA1	OK	0.03775	0.48953	-1.41064	383.468	144.24
ENST00000394673.6	ENSG00000010244.19	ZNF207	OK	0.038	0.48953	-1.21356	120.009	51.7485
ENST00000250498.9	ENSG00000129562.11	DAD1	OK	0.0399	0.48953	-1.09456	332.703	155.798
ENST00000558720.5	ENSG00000140319.11	SRP14	OK	0.0401	0.48953	1.28988	149.15	364.684
ENST00000532073.5	ENSG00000156738.18	MS4A1	OK	0.04065	0.48953	-3.01176	129.206	16.0197
ENST00000439561.7	ENSG00000129083.13	COPB1	OK	0.04235	0.48953	1.31342	35.7002	88.7256
ENST00000216218.8	ENSG00000100380.15	ST13	OK	0.0433	0.48953	1.07961	32.3649	68.4019
ENST00000296122.10	ENSG00000213639.11	PPP1CB	OK	0.044	0.48953	-1.03206	83.2214	40.6962
ENST00000237530.11	ENSG00000118705.18	RPN2	OK	0.04405	0.48953	0.856135	103.324	187.036
ENST00000420894.6	ENSG00000120438.12	TCP1	OK	0.04445	0.48953	-1.78119	145.331	42.2834
ENST00000322535.11	ENSG00000087365.16	SF3B2	OK	0.045	0.48953	-1.29632	65.0125	26.4707
ENST00000462965.1	ENSG00000162704.16	ARPC5	OK	0.04505	0.48953	-1.32563	106.71	42.5747
ENST00000649749.1	ENSG00000160710.18	ADAR	OK	0.0452	0.48953	-0.580146	164.116	109.777
ENST00000360515.7	ENSG00000158985.14	CDC42SE2	OK	0.0453	0.48953	-1.15487	98.3887	44.1872
ENST00000222005.7	ENSG00000105401.9	CDC37	OK	0.0455	0.48953	-1.71095	95.3851	29.1363
ENST00000580018.4	ENSG00000265354.4	TIMM23	OK	0.04785	0.48953	-1.35364	127.509	49.895
