Name	Length	EffectiveLength	TPM	NumReads
chr10	135534747	135534497.000	318.259016	4987.167
chr11	135006516	135006266.000	478.583929	7470.254
chr11_gl000202_random	40103	39853.000	0.000000	0.000
chr12	133851895	133851645.000	638.389689	9879.453
chr13	115169878	115169628.000	218.844367	2914.048
chr14	107349540	107349290.000	582.701235	7232.167
chr15	102531392	102531142.000	488.565093	5791.640
chr16	90354753	90354503.000	495.326714	5174.458
chr17_ctg5_hap1	1680828	1680578.000	0.000000	0.000
chr17	81195210	81194960.000	910.710707	8549.345
chr17_gl000203_random	37498	37248.000	0.000000	0.000
chr17_gl000204_random	81310	81060.000	0.000000	0.000
chr17_gl000205_random	174588	174338.000	177.075400	3.569
chr17_gl000206_random	41001	40751.000	0.000000	0.000
chr18	78077248	78076998.000	208.790973	1884.769
chr18_gl000207_random	4262	4012.000	0.000000	0.000
chr19	59128983	59128733.000	1042.885314	7129.490
chr19_gl000208_random	92689	92439.000	0.000000	0.000
chr19_gl000209_random	159169	158919.000	0.000000	0.000
chr1	249250621	249250371.000	513.219084	14789.788
chr1_gl000191_random	106433	106183.000	3733.627902	45.836
chr1_gl000192_random	547496	547246.000	0.000000	0.000
chr20	63025520	63025270.000	477.107569	3476.597
chr21	48129895	48129645.000	222.787722	1239.730
chr21_gl000210_random	27682	27432.000	0.000000	0.000
chr22	51304566	51304316.000	536.127581	3180.134
chr2	243199373	243199123.000	433.531933	12190.076
chr3	198022430	198022180.000	385.022282	8815.015
chr4_ctg9_hap1	590426	590176.000	0.000000	0.000
chr4	191154276	191154026.000	233.297074	5156.038
chr4_gl000193_random	189789	189539.000	0.000000	0.000
chr4_gl000194_random	191469	191219.000	0.000000	0.000
chr5	180915260	180915010.000	412.471866	8627.645
chr6_apd_hap1	4622290	4622040.000	0.000000	0.000
chr6_cox_hap2	4795371	4795121.000	2572.203453	1426.029
chr6_dbb_hap3	4610396	4610146.000	182.372003	97.207
chr6	171115067	171114817.000	417.772167	8265.145
chr6_mann_hap4	4683263	4683013.000	393.108785	212.844
chr6_mcf_hap5	4833398	4833148.000	1967.803794	1099.601
chr6_qbl_hap6	4611984	4611734.000	1227.934756	654.731
chr6_ssto_hap7	4928567	4928317.000	224.122321	127.705
chr7	159138663	159138413.000	483.438712	8894.874
chr7_gl000195_random	182896	182646.000	1064.832563	22.486
chr8	146364022	146363772.000	262.200342	4437.008
chr8_gl000196_random	38914	38664.000	0.000000	0.000
chr8_gl000197_random	37175	36925.000	0.000000	0.000
chr9	141213431	141213181.000	397.906236	6496.498
chr9_gl000198_random	90085	89835.000	0.000000	0.000
chr9_gl000199_random	169874	169624.000	0.000000	0.000
chr9_gl000200_random	187035	186785.000	0.000000	0.000
chr9_gl000201_random	36148	35898.000	0.000000	0.000
chrM	16571	16321.000	794292.961674	1498.825
chrUn_gl000211	166566	166316.000	0.000000	0.000
chrUn_gl000212	186858	186608.000	92.687254	2.000
chrUn_gl000213	164239	163989.000	0.000000	0.000
chrUn_gl000214	137718	137468.000	0.000000	0.000
chrUn_gl000215	172545	172295.000	0.000000	0.000
chrUn_gl000216	172294	172044.000	0.000000	0.000
chrUn_gl000217	172149	171899.000	0.000000	0.000
chrUn_gl000218	161147	160897.000	0.000000	0.000
chrUn_gl000219	179198	178948.000	151.506391	3.135
chrUn_gl000220	161802	161552.000	178550.641670	3335.010
chrUn_gl000221	155397	155147.000	0.000000	0.000
chrUn_gl000222	186861	186611.000	0.000000	0.000
chrUn_gl000223	180455	180205.000	0.000000	0.000
chrUn_gl000224	179693	179443.000	0.000000	0.000
chrUn_gl000225	211173	210923.000	0.000000	0.000
chrUn_gl000226	15008	14758.000	0.000000	0.000
chrUn_gl000227	128374	128124.000	0.000000	0.000
chrUn_gl000228	129120	128870.000	0.000000	0.000
chrUn_gl000229	19913	19663.000	1538.436780	3.497
chrUn_gl000230	43691	43441.000	0.000000	0.000
chrUn_gl000231	27386	27136.000	0.000000	0.000
chrUn_gl000232	40652	40402.000	0.000000	0.000
chrUn_gl000233	45941	45691.000	0.000000	0.000
chrUn_gl000234	40531	40281.000	0.000000	0.000
chrUn_gl000235	34474	34224.000	0.000000	0.000
chrUn_gl000236	41934	41684.000	0.000000	0.000
chrUn_gl000237	45867	45617.000	0.000000	0.000
chrUn_gl000238	39939	39689.000	0.000000	0.000
chrUn_gl000239	33824	33574.000	0.000000	0.000
chrUn_gl000240	41933	41683.000	0.000000	0.000
chrUn_gl000241	42152	41902.000	928.885800	4.500
chrUn_gl000242	43523	43273.000	0.000000	0.000
chrUn_gl000243	43341	43091.000	0.000000	0.000
chrUn_gl000244	39929	39679.000	0.000000	0.000
chrUn_gl000245	36651	36401.000	0.000000	0.000
chrUn_gl000246	38154	37904.000	0.000000	0.000
chrUn_gl000247	36422	36172.000	0.000000	0.000
chrUn_gl000248	39786	39536.000	0.000000	0.000
chrUn_gl000249	38502	38252.000	2377.434141	10.514
chrX	155270560	155270310.000	354.350364	6361.282
chrY	59373566	59373316.000	12.075346	82.892
