rank	gene_id	HGNC_symbol	sampleA_gene_counts	sampleB_gene_counts	A_only_transcript	A_only_name	A_only_count_A	A_only_count_B	B_only_transcript	B_only_name	B_only_count_A	B_only_count_B	A_only_usage_delta	B_only_usage_delta	switch_support
1	ENSG00000203970.4	DEFB110	198.000000	202.000000	ENST00000393660.2	DEFB110-202	198.000000	0.000000	ENST00000371148.3	DEFB110-201	0.000000	202.000000	1.00000000	-1.00000000	198.000000
2	ENSG00000030419.17	IKZF2	141.999801	103.000055	ENST00000451136.6	IKZF2-210	137.496000	0.033284	ENST00000457361.5	IKZF2-213	0.083961	98.197300	0.96795991	-0.95278006	98.197300
3	ENSG00000086758.17	HUWE1	129.999935	135.000026	ENST00000612484.4	HUWE1-214	79.791000	0.000013	ENST00000262854.11	HUWE1-202	0.000000	126.512000	0.61377714	-0.93712575	79.791000
4	ENSG00000141367.14	CLTC	153.000015	167.999941	ENST00000714243.1	CLTC-229	76.023200	0.000827	ENST00000714180.1	CLTC-224	0.196968	88.581700	0.49687869	-0.52598484	76.023200
5	ENSG00000162244.12	RPL29	160.887055	177.999983	ENST00000492277.5	RPL29-208	64.050600	0.025133	ENST00000475248.5	RPL29-203	0.000015	95.222400	0.39796790	-0.53495726	64.050600
6	ENSG00000167986.15	DDB1	64.999993	82.000025	ENST00000679712.1	DDB1-226	55.868000	0.000000	ENST00000301764.12	DDB1-201	0.027648	55.237100	0.85950779	-0.67319761	55.237100
7	ENSG00000100353.18	EIF3D	53.000023	56.000001	ENST00000405442.5	EIF3D-203	53.000000	0.000001	ENST00000216190.13	EIF3D-201	0.000023	56.000000	0.99999955	-0.99999955	53.000000
8	ENSG00000051108.15	HERPUD1	79.999982	86.000015	ENST00000379792.6	HERPUD1-203	51.583100	0.000000	ENST00000300302.9	HERPUD1-201	0.307082	53.279300	0.64478890	-0.61568811	51.583100
9	ENSG00000101265.16	RASSF2	48.000000	47.000001	ENST00000379400.8	RASSF2-202	48.000000	0.000001	ENST00000379376.2	RASSF2-201	0.000000	47.000000	0.99999997	-0.99999997	47.000000
10	ENSG00000092199.19	HNRNPC	142.999966	145.773652	ENST00000553753.5	HNRNPC-207	46.327100	0.038632	ENST00000554455.5	HNRNPC-210	0.000000	48.864000	0.32370080	-0.33520461	46.327100
11	ENSG00000198961.10	PJA2	47.000000	44.000000	ENST00000361557.4	PJA2-202	45.526900	0.000000	ENST00000361189.7	PJA2-201	0.000000	44.000000	0.96865745	-1.00000000	44.000000
12	ENSG00000100201.23	DDX17	55.000022	66.999986	ENST00000396821.8	DDX17-202	39.941700	0.276838	ENST00000403230.3	DDX17-203	0.006392	61.848500	0.72208052	-0.92299590	39.941700
13	ENSG00000164924.18	YWHAZ	173.999824	191.999577	ENST00000522542.5	YWHAZ-219	51.854300	0.000057	ENST00000457309.2	YWHAZ-211	0.000000	35.179400	0.29801322	-0.18322645	35.179400
14	ENSG00000107263.19	RAPGEF1	49.999974	46.000018	ENST00000372190.8	RAPGEF1-202	35.153100	0.000328	ENST00000372189.7	RAPGEF1-201	0.000013	41.430100	0.70305525	-0.90065373	35.153100
15	ENSG00000165119.22	HNRNPK	192.999964	202.999914	ENST00000704012.1	HNRNPK-220	34.135000	0.000000	ENST00000376281.8	HNRNPK-205	0.000000	55.105300	0.17686532	-0.27145479	34.135000
16	ENSG00000197442.11	MAP3K5	33.999951	38.999955	ENST00000359015.5	MAP3K5-201	33.729500	0.000655	ENST00000698928.1	MAP3K5-203	0.000000	38.999300	0.99202874	-0.99998320	33.729500
17	ENSG00000197102.14	DYNC1H1	53.000030	49.999959	ENST00000680715.1	DYNC1H1-249	49.025800	0.003216	ENST00000645149.2	DYNC1H1-229	0.000000	33.546000	0.92495024	-0.67092055	33.546000
18	ENSG00000196235.14	SUPT5H	44.999958	36.000011	ENST00000598725.5	SUPT5H-213	44.886500	0.000011	ENST00000432763.7	SUPT5H-204	0.113458	33.413400	0.99747841	-0.92562843	33.413400
19	ENSG00000014216.16	CAPN1	46.999974	36.999991	ENST00000279247.11	CAPN1-201	44.638100	0.000103	ENST00000533129.5	CAPN1-224	0.000000	32.979100	0.94974456	-0.89132725	32.979100
20	ENSG00000122884.13	P4HA1	33.000043	36.000000	ENST00000307116.6	P4HA1-202	32.853200	0.000000	ENST00000373008.7	P4HA1-203	0.000000	36.000000	0.99555021	-1.00000000	32.853200
