# exact bigWig sum over each full 1Mbp window
# requested chromosomes: chr1-chr19
# windows_considered	2454
rank	chrom	start	end	total_signal	interval
1	chr10	80000000	81000000	230598.390300996602	chr10:80000000-81000000
2	chr11	69000000	70000000	212350.418887056410	chr11:69000000-70000000
3	chr8	70000000	71000000	181167.603300616145	chr8:70000000-71000000
4	chr7	45000000	46000000	179235.469344824553	chr7:45000000-46000000
5	chr11	120000000	121000000	172705.783310122788	chr11:120000000-121000000
6	chr17	56000000	57000000	171058.217610187829	chr17:56000000-57000000
7	chr8	84000000	85000000	166883.675966016948	chr8:84000000-85000000
8	chr7	127000000	128000000	158695.913562953472	chr7:127000000-128000000
9	chr7	44000000	45000000	156991.400017008185	chr7:44000000-45000000
10	chr19	5000000	6000000	156730.419276185334	chr19:5000000-6000000
11	chr10	81000000	82000000	155578.871733710170	chr10:81000000-82000000
12	chr7	16000000	17000000	153266.004822045565	chr7:16000000-17000000
13	chr7	19000000	20000000	152751.064946755767	chr7:19000000-20000000
14	chr17	35000000	36000000	150310.181399188936	chr17:35000000-36000000
15	chr2	30000000	31000000	149265.110700413585	chr2:30000000-31000000
16	chr2	32000000	33000000	148695.408347733319	chr2:32000000-33000000
17	chr11	98000000	99000000	144827.972906768322	chr11:98000000-99000000
18	chr19	6000000	7000000	144078.053806707263	chr19:6000000-7000000
19	chr8	120000000	121000000	143952.496692121029	chr8:120000000-121000000
20	chr11	97000000	98000000	143522.595908746123	chr11:97000000-98000000
